V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192
7714,2,1,11,715,2,80851,3,24,1,0,715,3,1,750,4,1,30,3,1,3,9,0,0,1,0,7,0,0,4,9,9,9,7,121675,4,1,1,1,1,0,2,2,1,0,0,9,0,0,7,1,9,1,9,4,4,5,4,9,12,9,4,1,1,0,9,0,9,0,9,0,5852,5842,-1,-1,-1,5842,6118,276,0,-1,-1,-1,-1,-1,276,9.0,0.0,0.0,0.0,0.0,9202,9202,0,0,109202,109202,36,22,36,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6.6201,2,0,750,2,0,1,0,4,0,0,0,3,5842,5842,1,5842,276,11,0,0,2,1,18.36,0,2,2,2,0,9,0,0,0,0,5,0,0,0,13,1,-1,1,1,-0.01,9,1,0,0,-1,999999,0,0,0,-0.01,-1e-04,0,0,0
7714,2,1,12,781,2,42639,1,36,1,0,781,3,2,320,2,1,14,2,5,2,3,4,0,2,-1,5,15000,0,2,4,3,2,2,110675,1,2,1,1,1,0,1,2,1,0,0,1,0,0,1,1,3,1,3,4,1,5,4,1,4,99,7,1,3,0,1,2,3,2,2,1,5802,5788,5800,5897,5795,5788,5960,172,0,7,5,97,63,160,172,15.0,0.0,9999.99,0.0,9999.99,9200,9200,9200,9200,109230,109200,240,48,480,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5.7683,3,0,320,1,0,2,9,1,0,0,0,3,5788,5788,1,5788,172,11,0,0,2,1,244.8,0,4,5,5,0,0,0,0,0,0,3,0,0,0,13,1,109200,4,3,0.0,0,1,0,0,109230,0,0,0,0,0.0,0.0,0,0,0
7714,2,1,13,813,2,32521,3,54,1,0,813,3,2,-1,6,3,0,3,14,3,3,0,0,0,0,3,10000,0,3,1,7,2,2,92975,1,2,2,1,1,0,1,2,1,0,0,1,0,0,1,1,2,2,3,4,4,5,4,1,5,99,8,2,6,0,1,2,3,2,2,1,5753,5751,5758,5946,5758,5750,5955,205,1,7,0,188,9,197,204,4.0,60.0,9999.99,0.0,9999.99,9200,9200,9200,9200,109220,109200,480,120,480,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,1,-1e-04,3,0,508,1,0,3,0,1,0,0,0,3,5751,5751,1,5751,204,11,0,0,1,1,244.8,0,7,8,8,1,1,0,0,0,0,4,0,0,1,13,1,109200,4,6,60.0,1,1,0,0,-1,41109,0,0,0,1825.2,7.51,0,1,0
7714,2,1,14,884,2,110238,1,37,3,0,884,3,1,-1,4,1,-1,1,18,9,9,17,7,0,0,1,50000,0,3,4,3,9,2,62875,3,2,1,1,2,0,1,1,1,0,0,3,0,0,1,1,1,2,3,4,3,5,4,2,5,99,8,3,6,0,2,2,1,9,0,4,-1,5659,5676,5848,-1,5687,5914,227,-1,-1,-1,172,66,238,255,221.0,480.0,9999.99,999.99,180.0,10200,10200,0,10200,110200,110200,480,480,480,480,1,0,2,2,0,0,1,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,-1e-04,3,0,29,1,9,3,3,3,1,0,0,2,5659,5659,0,5659,255,10,0,2,3,1,244.8,0,7,8,8,1,1,0,0,0,0,1,3,3,0,12,1,-1,4,6,480.0,1,2,1,0,-1,61759,1,0,0,14601.6,9.589,1,1,2
7714,2,1,15,915,2,42924,1,51,1,0,915,2,2,-1,6,1,-1,3,51,1,3,0,0,0,0,3,500,0,4,9,9,9,2,42775,4,2,1,1,2,0,2,2,1,0,0,1,0,0,2,1,4,1,2,3,1,5,4,9,9,6,2,1,1,0,9,0,9,0,9,0,5598,5597,-1,-1,5612,5595,5612,17,2,15,-1,-1,-1,-1,15,3.0,0.0,0.0,0.0,0.0,9220,9220,0,0,109220,109220,480,120,480,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,-1e-04,3,0,23,1,9,3,0,4,0,0,0,2,5597,5597,0,5597,15,10,0,0,1,1,244.8,0,2,2,2,0,9,0,0,0,0,1,0,0,0,12,1,-1,4,1,-0.01,9,1,0,0,-1,999999,0,0,0,-0.01,-1e-04,0,0,0
7714,2,1,16,1006,1,120929,2,45,2,0,1006,1,1,2150,2,3,0,2,-1,9,3,0,0,0,0,5,5000,0,4,9,9,9,7,122674,1,2,1,1,1,0,1,2,1,0,0,1,0,0,1,1,3,2,2,4,3,1,4,1,4,99,7,1,6,0,2,2,2,2,1,1,5477,5474,5487,5613,-1,5474,5893,419,0,-1,-1,126,280,406,419,3.0,24.0,9999.99,24.0,24.0,9200,9200,0,9230,109230,109200,240,48,480,480,1,0,1,1,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.6732,3,0,2150,2,0,9,0,1,0,0,0,1,5474,5474,0,5474,419,10,0,2,1,1,244.8,0,4,5,7,1,1,0,0,0,0,7,0,2,0,11,1,109200,4,3,24.0,0,2,0,0,109230,32189,1,0,0,730.08,6.5945,0,1,0
7714,2,1,17,1110,2,50445,1,30,10,0,1110,3,1,1300,1,1,60,2,4,3,3,0,0,1,1,1,50000,0,4,9,9,9,4,50575,3,2,1,1,2,0,1,1,1,0,0,4,0,0,7,1,2,2,3,4,4,5,2,1,5,99,8,2,6,0,2,2,2,2,2,3,-1,5611,5613,5757,-1,5612,5842,230,-1,-1,-1,144,85,229,231,226.0,480.0,0.0,60.0,1290.3,10200,10200,0,10200,110200,110200,480,480,480,480,1,0,9,9,0,0,9,0,3,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7.1701,3,0,1300,2,0,2,1,3,1,0,0,2,5611,5611,0,5611,231,10,0,2,3,1,244.8,0,7,8,8,1,1,0,0,0,0,7,1,5,0,12,1,-1,4,6,480.0,1,2,9,0,-1,61759,1,0,0,14601.6,9.589,1,1,1
7714,2,1,18,1112,2,20957,1,18,2,1,1111,3,1,-1,4,9,-1,1,7,9,3,0,0,0,0,1,100000,0,1,4,9,9,7,42375,4,2,1,1,1,0,9,2,1,0,0,1,0,0,1,1,4,1,3,4,4,5,4,1,5,99,8,2,6,0,1,2,1,2,1,2,-1,5597,5611,5813,-1,5615,5914,299,-1,-1,-1,202,101,303,317,195.0,180.0,9999.99,999.99,9999.99,9200,9200,0,9200,109200,109200,480,480,480,480,1,0,1,1,0,0,0,1,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,-1e-04,1,0,257,1,9,2,0,4,0,0,0,2,5597,5597,0,5597,317,10,0,0,3,1,244.8,0,7,8,8,1,1,0,0,0,0,3,0,2,0,12,1,109200,4,6,180.0,1,2,1,0,-1,51985,1,0,0,5475.6,8.6082,1,1,0
7714,2,1,19,1120,2,101325,3,49,5,0,1120,3,1,900,2,3,0,3,1,3,3,0,0,0,0,5,10000,0,4,9,9,9,6,11575,4,2,1,2,2,0,2,2,1,0,0,9,0,0,1,1,2,2,3,4,4,5,2,1,15,99,8,2,1,0,9,0,9,0,9,0,5623,5618,5648,5873,5638,5618,5879,261,0,20,10,225,6,231,261,5.0,0.0,0.0,0.0,0.0,10201,10200,10200,10200,110200,110201,480,480,120,30,1,1,4,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.8024,3,0,900,2,0,1,0,4,0,0,0,2,5618,5618,0,5618,261,10,0,0,2,1,61.2,0,8,4,4,0,9,0,0,0,0,6,0,5,0,12,1,-1,2,5,-0.01,9,2,0,0,-1,999999,1,0,0,-0.01,-1e-04,0,0,0
7714,2,1,20,1120,2,101325,3,49,5,0,1120,3,1,900,2,3,0,3,1,3,3,0,0,0,0,5,10000,0,4,9,9,9,6,12975,4,2,1,2,2,0,2,2,1,0,0,9,0,0,7,1,2,2,3,4,4,5,2,1,13,6,7,1,1,0,9,0,9,0,9,0,5623,5618,5648,5873,5638,5618,5877,259,0,20,10,225,4,229,259,5.0,0.0,0.0,0.0,0.0,10201,10200,10200,10200,110200,110201,480,480,120,30,1,1,4,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.8024,3,0,900,2,0,1,0,4,0,0,0,2,5618,5618,0,5618,259,10,0,0,2,1,61.2,0,3,3,3,0,9,0,0,0,0,6,0,5,0,12,1,-1,2,2,-0.01,9,2,0,0,-1,999999,1,0,0,-0.01,-1e-04,0,0,0
